City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,quellon,-43.1167,-73.6167,7.85,78,100,4.42,CL,1699841623
83,mejit,10.2753,170.8646,28.14,81,91,7.19,MH,1699841327
84,lihue,21.9789,-159.3672,28.58,75,75,8.75,US,1699841353
85,papatowai,-46.5619,169.4708,11.73,97,100,2.71,NZ,1699841624
86,port mathurin,-19.6833,63.4167,25.06,78,0,2.16,MU,1699841624
87,chonchi,-42.6128,-73.8092,7.56,84,97,1.53,CL,1699841625
88,siwa oasis,29.2041,25.5195,19.92,65,0,2.6,EG,1699841361
89,kepala batas,5.5171,100.4265,29.97,79,56,0.42,MY,1699841625
90,imperatriz,-5.5264,-47.4917,29.19,44,83,0.72,BR,1699841626
91,kyelang,32.5833,77.0333,-5.49,46,1,2.59,IN,1699841626
92,vadso,70.0744,29.7487,-5.91,86,20,1.54,NO,1699841375
93,kirensk,57.7853,108.1119,-10.58,91,89,1.34,RU,1699841627
94,weno,7.4515,151.8468,28.97,84,75,2.57,FM,1699841368
95,iturama,-19.7281,-50.1956,29.43,35,13,2.49,BR,1699841627
96,vorgashor,67.5833,63.95,-11.15,98,89,3.04,RU,1699841627
97,hirara,24.8,125.2833,21.64,73,100,13.7,JP,1699841374
98,hawaiian paradise park,19.5933,-154.9731,25.02,89,75,2.57,US,1699841628
99,invercargill,-46.4,168.35,12.23,90,100,2.68,NZ,1699841348
100,molde,62.7375,7.1591,-0.16,55,40,1.54,NO,1699841628
101,geneina,13.45,22.45,27.68,29,100,2.21,SD,1699841629
102,vilyuysk,63.7553,121.6247,-20.9,98,64,1.75,RU,1699841629
103,amble,55.3333,-1.5833,7.42,93,100,5.14,GB,1699841629
104,kourou,5.1552,-52.6478,26.63,86,4,4.1,GF,1699841629
105,pitimbu,-7.4706,-34.8086,24.33,76,4,2.95,BR,1699841630
106,yunmeng chengguanzhen,31.0625,113.7655,8.46,41,80,5.36,CN,1699841630
107,nouadhibou,20.931,-17.0347,20.99,78,0,4.63,MR,1699841630
108,liwale,-9.7667,37.9333,22.48,92,99,1.5,TZ,1699841631
109,tiksi,71.6872,128.8694,-17.36,91,87,6.28,RU,1699841631
110,xilin hot,43.9667,116.0333,-8.14,69,4,4.27,CN,1699841631
111,sao tome,0.3365,6.7273,26.29,86,17,3.45,ST,1699841631
112,zeya,53.75,127.2667,-3.62,42,4,4.54,RU,1699841344
113,port elizabeth,-33.918,25.5701,16.16,78,0,4.12,ZA,1699841632
114,tangalle,6.024,80.7911,24.09,94,100,1.5,LK,1699841632
115,villa gesell,-37.2639,-56.973,12.81,61,97,5.37,AR,1699841632
116,island harbour,50.724,-1.2758,13.04,93,100,3.13,GB,1699841633
117,shush,32.1942,48.2436,23.64,34,100,2.62,IR,1699841633
118,colonia,50.9333,6.95,7.64,88,40,4.63,DE,1699841602
119,kerikeri,-35.2268,173.9474,20.11,51,1,3.88,NZ,1699841634
120,saint-francois,46.4154,3.9054,12.69,95,100,3.09,FR,1699841341
121,fale old settlement,-9.3852,-171.2468,29.26,70,85,2.0,TK,1699841360
122,longyearbyen,78.2186,15.6401,-6.09,79,75,9.77,SJ,1699841374
123,ilulissat,69.2167,-51.1,-11.99,61,28,0.0,GL,1699841634
124,vengerovo,55.6848,76.7471,1.11,89,100,4.29,RU,1699841635
125,mahibadhoo,3.7833,72.9667,27.0,78,72,0.83,MV,1699841635
126,bridlington,54.0831,-0.1919,8.9,93,100,2.24,GB,1699841635
127,hawkesbury,45.6001,-74.616,-3.86,73,1,1.13,CA,1699841636
128,utrik,11.2278,169.8474,28.06,81,100,8.45,MH,1699841354
129,westport,41.1415,-73.3579,3.03,66,0,3.09,US,1699841425
130,margaret river,-33.95,115.0667,21.6,58,56,5.12,AU,1699841610
131,ha'il,27.5219,41.6907,17.01,51,0,2.06,SA,1699841637
132,olonkinbyen,70.9221,-8.7187,-3.29,67,100,2.21,SJ,1699841349
133,keflavik,64.0049,-22.5624,3.24,70,0,5.66,IS,1699841347
134,margate,51.3813,1.3862,11.61,95,100,1.79,GB,1699841637
135,mezhdurechenskiy,59.6,65.9333,-2.53,95,44,1.5,RU,1699841638
136,santiago de cao,-7.9589,-79.2392,20.07,77,75,4.63,PE,1699841638
137,bredasdorp,-34.5322,20.0403,12.77,88,29,0.39,ZA,1699841350
138,kushiro,42.975,144.3747,4.68,49,0,2.29,JP,1699841394
139,qaqortoq,60.7167,-46.0333,-8.37,90,27,0.55,GL,1699841639
140,kargasok,59.0556,80.8572,1.09,94,99,2.68,RU,1699841387
141,praia da vitoria,38.7333,-27.0667,16.53,95,100,3.17,PT,1699841368
142,praya,14.9215,-23.5087,24.3,83,0,4.12,CV,1699841640
143,posse,-14.0931,-46.3694,26.42,27,1,2.75,BR,1699841640
144,bac lieu,9.285,105.7244,29.04,79,77,8.15,VN,1699841350
145,springs,-26.25,28.4,16.48,68,1,3.68,ZA,1699841640
146,vila franca do campo,37.7167,-25.4333,20.23,99,82,6.77,PT,1699841359
147,bodaybo,57.8506,114.1933,-17.71,91,72,0.11,RU,1699841389
148,konarka,19.9,86.1167,24.22,73,61,4.46,IN,1699841641
149,jamestown,42.097,-79.2353,2.8,74,0,2.57,US,1699841474
150,si satchanalai,17.5169,99.7598,26.17,86,100,1.5,TH,1699841641
151,funafuti,-8.5243,179.1942,29.26,78,47,7.75,TV,1699841643
152,pocone,-16.2567,-56.6228,30.93,43,98,1.54,BR,1699841643
153,port blair,11.6667,92.75,24.02,94,100,0.0,IN,1699841644
154,mount isa,-20.7333,139.5,36.87,20,5,6.17,AU,1699841644
155,karungdong,5.8844,121.263,29.56,68,2,0.89,PH,1699841391
156,kruisfontein,-34.0033,24.7314,11.48,72,21,3.55,ZA,1699841644
157,yigo village,13.5361,144.8886,31.62,75,75,8.75,GU,1699841645
158,porciuncula,-20.9628,-42.0408,26.61,59,89,2.05,BR,1699841645
159,anadyr,64.75,177.4833,-1.72,92,75,5.0,RU,1699841646
160,hermanus,-34.4187,19.2345,14.05,87,4,4.31,ZA,1699841646
161,dunedin,-45.8742,170.5036,17.11,70,100,1.34,NZ,1699841492
162,hovd,48.0056,91.6419,-4.92,91,100,0.61,MN,1699841646
163,hastings,50.8552,0.5729,12.38,94,100,5.96,GB,1699841647
164,mahdia,35.5047,11.0622,20.97,72,31,6.45,TN,1699841647
165,george town,5.4112,100.3354,31.64,74,20,1.03,MY,1699841648
166,qulsary,46.9531,54.0198,5.39,61,100,7.69,KZ,1699841648
167,remire-montjoly,4.9167,-52.2667,27.29,83,1,5.35,GF,1699841413
168,novodvinsk,64.4165,40.8122,-3.45,93,45,4.57,RU,1699841649
169,cururupu,-1.8283,-44.8683,23.65,86,1,1.82,BR,1699841649
170,polyarnyy,69.1989,33.4478,-9.83,95,90,4.51,RU,1699841413
171,kingston,17.997,-76.7936,29.53,74,20,3.6,JM,1699841649
172,dauphin,51.1494,-100.0502,4.08,75,0,10.8,CA,1699841650
173,bereket,39.2446,55.5154,13.2,49,87,6.43,TM,1699841650
174,nisporeni,47.0814,28.1783,6.33,84,45,1.0,MD,1699841650
175,fortaleza,-3.7227,-38.5247,28.93,70,20,4.63,BR,1699841651
176,ain oussera,35.4514,2.9058,13.1,64,4,2.24,DZ,1699841651
177,newman,37.3138,-121.0208,17.13,33,91,2.97,US,1699841651
178,labrador city,52.9463,-66.9114,-8.05,86,100,4.63,CA,1699841652
